Date,Open,High,Low,Close,Adj Close,Volume,Days
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.099874,469033600,0
1980-12-15,0.12221,0.12221,0.121652,0.121652,0.094663,175884800,1
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.087715,105728000,2
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.089886,86441600,3
1980-12-18,0.118862,0.11942,0.118862,0.118862,0.092492,73449600,4
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.098137,48630400,5
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.102913,37363200,6
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.107256,46950400,7
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.112901,48003200,8
1980-12-26,0.158482,0.15904,0.158482,0.158482,0.123323,55574400,9
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.125059,93161600,10
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.12202,68880000,11
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.118546,35750400,12
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.119849,21660800,13
1981-01-05,0.151228,0.151228,0.15067,0.15067,0.117244,35728000,14
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.112032,45158400,15
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.107256,55686400,16
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.105085,39827200,17
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.11073,21504000,18
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.109861,23699200,19
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.105953,23049600,20
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.106388,14291200,21
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.108559,14067200,22
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.10769,13395200,23
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.114203,41574400,24
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.11073,30083200,25
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.112901,15904000,26
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.114203,35548800,27
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.113769,11222400,28
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.112032,24640000,29
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.111164,23699200,30
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.10769,28156800,31
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.103782,43904000,32
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.098137,46188800,33
1981-02-02,0.11942,0.11942,0.118862,0.118862,0.092492,23766400,34
1981-02-03,0.123326,0.123884,0.123326,0.123326,0.095966,19152000,35
1981-02-04,0.12779,0.128348,0.12779,0.12779,0.09944,27865600,36
1981-02-05,0.12779,0.128906,0.12779,0.12779,0.09944,7929600,37
1981-02-06,0.128348,0.128906,0.128348,0.128348,0.099874,13865600,38
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.094663,16755200,39
